,pmid,flag,structure
1718,21652292,0, Introduction Methods Study design and patients Clinical and laboratory variables Evaluation of coronary angiography Results Patients subgroups Angiographic extent of CAD according to creatinine levels Discussion Variables Study limitations Conclusion Variables Lower Upper
1719,28578306,0, Summary Background caSe preSentation CASe repOrT inveStigationS differential diagnoSiS embolic strokes due to cardiac aetiology embolic strokes due to infective endocarditis Brain metastasis in the setting of advanced cholangiocarcinoma ischaemic stroke associated with the chemotherapy agents treatment outcome and follow-up diScuSSion learning points
1720,28197499,0," Introduction Osama Gheith 1,2* , Nashwa Farouk 3,4 , Narayanan Nampoory 2,4 , Medhat A Halim 2 , Torki Al-Otaibi Results Stages of diabetic nephropathy Risk factors for diabetic kidney disease in type 1 diabetes Incidence of diabetic kidney disease in type 1 diabetes Progression of diabetic kidney disease in type 1 diabetes Regression of kidney disease in type 1 diabetes Diabetic kidney disease in type 2 diabetes Progression of diabetic kidney disease in type 2 diabetes Health consequences of diabetic kidney disease Diabetic kidney disease in different countries Geriatrics and diabetic kidney disease Conclusion Conflicts of interest Ethical considerations Funding/Support"
1721,22737662,0, INTRODUCTION METHODS Patients Structured diabetes education program Measurements Statistical analysis RESULTS Clinical characteristics and behavioral outcomes before education Behavioral outcomes after education Glycemic control in both groups for 3 years DISCUSSION CONFLICTS OF INTEREST
1722,18323632,1, Materials and Methods Results Effects of dietary Eriobotrya japonica seeds on diabetic OLETF rats (experiment 1) Discussion
1723,4818101,1, Introduction Materials and Methods Sampling Methodology Collection of the data Statistical analysis Results Discussion
1724,23207773,1, MATERIALS AND METHODS RESULTS DISCUSSION
1725,23986072,1," METHODS 313 Recruitment and selection of participants Data collection process 314 Data analysis FINDINGS Asian Indian Views on Diet and Health in the United States 315 ""Native"" social and cultural understandings and influences of food-related behavior from India 316 Intersection of ""native"" beliefs and American society and structures 318 FAMILY & COMMUNITY HEALTH/OCTOBER-DECEMBER 2013 Generational conflict Reconciling conflicting interpretations about health risk Male 7: DISCUSSION FAMILY & COMMUNITY HEALTH/OCTOBER-DECEMBER 2013 CONCLUSION"
1726,17109600,0, D IABETES IS A GROUP of chronic diseases THE CHROMIUM (CR) CONNECTION GLYCEMIC RESPONSES TO CR PICOLINATE (CRPIC) Methodology T2DM: summary of responses DIABETES AND CHROMIUM PICOLINATE 679 Other types of diabetes Reducing drug requirements DIABETES AND CHROMIUM PICOLINATE 681 Prediabetes POOLED ANALYSES OF GLYCEMIC CONTROL FG and PPG FI and PPI HbA1c NONGLYCEMIC PARAMETERS Hyperlipidemia BROADHURST AND DOMENICO 682 Body composition CONCLUSIONS DIABETES AND CHROMIUM PICOLINATE 683 BROADHURST AND DOMENICO 684
1727,21841312,1, Introduction Results Cdkal1 catalyzes ms 2 t 6 A modification of mammalian tRNA Lys (UUU). 3600 Discussion
1728,27381349,0," Background Methods Study design, settings and participants Dependent variables Independent variables Interviews Statistical analysis Results Socio-demographic and clinical characteristics of respondents Self-care behaviours toward diabetes Discussion Conclusion Additional file Availability of data and materials Competing interests Consent for publication Ethics approval and consent"
1729,17243523,1, Introduction Materials and Methods Results Age and ethnicity Prevalence and severity of retinopathy Risk factors for retinopathy Discussion Med J Malaysia Vol 61 No 4 October 2006 Conclusion
1730,22558213,1, Introduction Methods Participants Description of Procedures or Investigations undertaken Ethics Statistical methods Results Discussion Author Contributions
1731,23248200,0, INTRODUCTION Construction of HEK293 cells stably expressing OATP1B1*1a or OATP1B1*15 Cell culture Immunocytochemical staining Membrane isolations Protein digestion LC-MS/MS analysis Data analysis
1732,27548901,0," 4272 METHODS Experimental Animals Vascular Histopathology Ultrahigh-Resolution Spectral-Domain Optical Coherence Tomography Imaging Superoxide Generation Immunoblots Optokinetic Assessment of Visual Function Leukocyte-Mediated Damage of Endothelial Cells Statistical Analyses RESULTS Photoreceptors Degenerate in Opsin Mutants but Not in Diabetic C57Bl/6 Controls Visual Function Is Lost in Opsin Mutants and Is Impaired in Diabetic C57Bl/6 Mice Retinal Capillaries Degenerate in Opsin Mutants, Especially Before Photoreceptor Degeneration Potential Contributions of Oxidative Stress, Inflammation, and Leukocytes in the Observed Degeneration of Retinal Capillaries DISCUSSION Photoreceptors Cause Retinal Vascular Degeneration"
1733,24349134,0, Introduction Methods Cohort Patients Classification of Patients According to Trend Over Time of Renal Function Data and Measurements Number of Achieved Therapeutic Targets Statistical Analysis Results Group Characteristics Cardiovascular and CKD Progression Risk Factors Achieved Therapeutic Targets CKD Complications Discussion Supporting Information
1734,15252873,0, INTRODUCTION MATERIALS AND METHODS Animals Isolation of Rat Liver Mitochondria Mitochondrial Swelling Measurement of Respiratory Activities Measurement of Mitochondrial Transmembrane Potential (ψ) Chemicals RESULTS Effects of Glibenclamide on Nonrespiring Mitochondria Effects of Glibenclamide on Succinate-Respiring Mitochondria DISCUSSION
1735,23056280,0," Introduction Results Discovery of AM-1638 and AM-6226 Characterization of AM-1638 and AM-6226 in vitro Stimulation of Second Messengers and Secretion of Insulin, GLP-1 and GIP in Primary Cells Enhanced Anti-diabetic Efficacy of AM-1638 in Rodent Models AM-1638 Enhances Incretin and Insulin Secretion in NONcNZO10/LtJ Mice Materials and Methods GPR40 Agonist Synthesis Primary Cell Assays Rodent Experiments Statistical Analysis Supporting Information"
1736,22768889,1," Introduction Methods The profile for seven glycemia points included Outcome Calculating the Sample Size Statistical Analysis External Validation Process Results Glycated Hemoglobin in Diabetes Patients with Insulin Therapy, Intragroup Comparison Glycated Hemoglobin in Diabetes Patients with Insulin, Comparison between Groups Daily Doses of Insulin Discussion Conclusion Funding: Disclosures:"
1737,12775714,1, Introduction Functional liver to pancreas transdifferentiation Pancreatic hormones analysis by immunohistochemistry. Functional liver to pancreas transdifferentiation Results: Functional liver to pancreas transdifferentiation Discussion A. Hepatic insulin content in individual mice as a function of time after systemic
1738,27768803,0," Materials and methods Data set Results Generating an environmental disease network (EDN) Mining the environmental disease network Probabilistic score Exploration of the biological mechanisms: biological enrichment Case study: Type II diabetes Deciphering possible links between novel chemicals and disease Exploration of the biological mechanisms: understanding the findings for T2D-disease predictions Chemical Biological Enrichment DDT Tab. 2: Mining the full EDN for diseases associated with bisphenol A (BPA), chlordane and hexachlorobenzene (HCB) Environmental Conclusions Discussion"
1739,23803148,1, Background Methods Search strategy Selection criteria Data extraction Statistical analysis Results Search results DM and risk of bladder cancer DM and incidence of bladder cancer by sex Duration of DM and risk of bladder cancer Publication bias Discussion Conclusion Additional files Competing interests Author details
1740,11834421,0, Introduction Cell distribution of PDX-1 Regulation of PDX-1 gene expression Regulation of b-cell-specific gene expression by PDX-1 Insulin IAPP GLUT-2 GK Somatostatin Role of PDX-1 in the developing pancreas Role of PDX-1 in the proliferation and differentiation of b-cells Mutation and MODY-4 Conclusion
1741,12838803,0," Pathophysiology of type 1 diabetes Advances in treatment Algorithms for individualizing regimens Carbohydrate algorithm (see end page) High-blood-glucose supplement algorithm (see end page) Exercise algorithm (see end page) Basal insulin therapy Compiled from Barnett and Owens (1), Lepore et al (2), and White et al (3). Emergency precautions Conclusion Carbohydrate algorithm High-blood-glucose supplement algorithm Exercise algorithm"
1742,16106313,1, Introduction Subjects and methods Patients Glucose sensor Procedure Statistics Results Discussion Conclusions Correspondence
1743,28253329,1, Results Materials and methods Cell culture Reagents Cell proliferation assays Immunostaining Cell cycle assays Protein extraction and western-blot ELISA Statistical analyses Results Metformin inhibits the proliferation of BPH epithelial cells Metformin inhibits IGF-1-induced cell growth of BPH-1 and P69 Metformin inhibits the expression of cell proliferating regulators Erk and Akt Metformin regulates the cell cycle and the expression of cyclin D Metformin interrupts the effect of stromal cells on epithelial cells Discussion Author Contributions Formal analysis: ZW XX. Methodology: ZW XX. Supervision: AFO.
1744,15198842,1, INTRODUCTION RESEARCH DESIGN AND METHODS Pre-implant testing and sterilization Human subjects In vivo evaluation and calibration Oxygen limitation Evaluation of sensor explant RESULTS Safety In vivo performance CONTINUOUS LONG-TERM GLUCOSE MONITORING 381 GILLIGAN ET AL. 382 Failure of packaging and electronics Explant histology Explant in vitro test results Failure modes DISCUSSION AND CONCLUSIONS
1745,24250965,1, Introduction A B S T R A C T A R T I C L E I N F O Introduction: Materials and methods Results Discussion Hypertension Diabetes mellitus Smoking Dyslipidemia Limitations Conclusion
1746,12525695,1, Materials and Methods Estimation of mRNA Levels by Semiquantitative RT-PCR Analysis. Results Pax4 Activation in ES Cells Modified the Differentiation Pattern and Differentiation of Pax4 Cells According to the Nestin Selection Histotypic Generation of Spheroids and Ultrastructural Analysis of Transplantation of ES Cell-Derived Insulin-Producing Cells Maintained Discussion
1747,25870709,0, Introduction Case presentation Fig. 1 The case at presentation Fig. 2 Intraoperative view of the wound being prepared with VERSAJET Hydrosurgery System Discussions Conclusions Conflict of Interest
1748,1855298,1, Patients and Methods Results <0.001). FA-2 results also decreased DiscussIon _________________________ 5B
1749,25746842,0, Introduction Methods Study Selection Data Extraction and Quality Assessment Statistical Analysis Results Study selection Study characteristics [Escriba texto] Effect of polyphenol intake on HbA1c Discussion
1750,23904478,1, Results IL-15/IL-15Rα Double Transgenic Mice Developed Insulin-Dependent Depletion of CD4 Cells at the Onset of Diabetes Reversed Hyperglycemia Inhibiting IL-15 Signaling at the Prediabetic Stage Delayed the Diabetes Discussion Materials and Methods
1751,19193822,0, The Match: Injected vs Secreted Insulin Initiating Insulin Analog Therapy CLINICAL PRACTICE Benefits of Insulin Analog Therapy Time-Action Profile Hypoglycemia Weight Gain Implications for Patient Adherence Case Study 1 CLINICAL PRACTICE Discussion Case Study 2 Conclusion
1752,26238534,0, Introduction Methods Literature search Data extraction Statistical analysis Results Study characteristics Association between vitamin D deficiency and risk for DN Effects of vitamin D supplementation on DN Discussion
1753,17503114,1, Introduction Methods and materials n Statistical analyses Results Discussion
1754,24354802,1, Background Methods Subjects Measurements Statistical analysis Results Discussion Conclusions
1755,24849710,1, Introduction Methods Results Discussion
1756,19720998,1, Results DiPS Cells Spontaneously Differentiate into Cell Types of Different DiPS Cells Can Be Differentiated Along the Endodermal/Pancreatic Discussion Materials and Methods
1757,23413806,0, Introduction Methods C-peptide as a measure of insulin secretion The C-peptide assay Units for reporting of C-peptide values Measurement of C-peptide Sample handling Measurement of C-peptide in blood Measurement of C-peptide in urine Summary Clinical utility of C-peptide measurement Classification of diabetes Differentiating Type 1 and Type 2 diabetes Summary Detecting absolute insulin deficiency Treatment response Treatment change in non-insulin-treated patients Glycaemic response to bariatric surgery in Type 2 diabetes Summary Determining prognosis Islet transplantation Insulin resistance Recommendations Conclusion DIABETICMedicine
1758,24666993,1, Background Methods Animal models Treatment protocols Blood sampling and analysis Analysis of urine parameters NF-κB activity measurement Renal cytokines determination Renal histological analysis Immunohistochemistry Western blotting Statistical analysis Results and discussion TGF-β1 Fibronectin Conclusions
1759,24206774,1, Background Methods Study design Study participants Data collection Outcome measures Statistical analysis Results Discussion D C Conclusions Additional files
1760,26763901,1, Introduction Methods Study population Measurements Statistical analysis Results Discussion Potential mechanisms Implications of findings Strengths and limitations Conclusion Declaration of conflicting interests
1761,11780925,0, Materials and Methods Patient Selection Donor Selection Assessment of Semen Variables Sperm Cryopreservation Statistical Analysis Results Semen Quality in Patients Before Cryopreservation Semen Quality in Patients After Cryopreservation Intra-Group Analysis Discussion
1762,21348389,0, Introduction Case Report Discussion Conclusions
1763,12806725,0, Herod's illnesses ORIGINAL ARTICLES Diagnosis Other diagnoses mentioned in the literature Discussion
1764,20202232,1, INTRODUCTION MATERIALS AND METHODS RESULTS Drainage of Perinephric Abscess COMMENTS CONCLUSIONS ACKNOWLEDGMENT CONFLICT OF INTEREST EDITORIAL COMMENT EDITORIAL COMMENT
1765,25115868,0, Introduction Materials and Methods Materials and reagents Animals Experimental design Sample collection Cardiovascular disease risk factors Endogenous antioxidant systems Oxidative stress Statistical analysis Results Cardiovascular disease risk factors Endogenous antioxidant systems Oxidative stress Discussion Supporting Information
1766,25363046,0, Relevance to policy International comparisons 'Best buys' for policy makers Conclusion
1767,15150820,0," Introduction Diabetic Foot Ulcer Classification System S91 Aims of the ulcer research classification system Validation The definition of an ulcer The categories and grades Perfusion GRADE 3 Critical limb ischemia, as defined by Comments Diabetic Foot Ulcer Classification System S93 Extent/size Depth/tissue loss Infection S94 N. C. Schaper GRADE 1 Comments Sensation GRADE 1 Comments"
1768,15283536,1, Methods Study Procedure Statistical Analysis Results Discussion The 1998 Clinical Practice Guidelines for the Management of
1769,22208425,0," Setting the Stage Intrinsic vs. Extrinsic Motivation: Understanding the Issues How Do Most Health Promotion Programs Currently Deal With Motivation? Some Examples of Wellness Incentive Programs Example 1: The Wellness Challenge Example 2: Asset Health What Does the Research Literature Tell Us About Motivation? What Programming Strategies Can Be Used to Enhance Intrinsic Motivation? Help to Identify Personal Intentions and Benefits Practical Examples Provide ''How-To'' Health Knowledge Practical Examples Promote Self-Mastery Practical Examples Foster a Sense of Belonging and Recognition TAHP-7 Practical Examples Harness the Power of Others Practical Examples Identify Action Steps Practical Examples Support the Individual's Creative Process Practical Examples Make Change Fun Practical Examples Conclusion Selected Abstracts Lloyd KM, Little DE."
1770,10938013,1, Methods Population Measurement of Aortic Calcification Metacarpal Radiogrammetry Menopausal State Assessment of Covariates Population for Analyses Data Analysis Results Hak et al Progression of Atherosclerosis and Bone Loss Discussion Hak et al Progression of Atherosclerosis and Bone Loss
1771,23671105,1," Results A. muciniphila Abundance Decreased in Obese and Type 2 Diabetic HF Diet Altered the Gut Microbiota Composition, Whereas A. muciniphila A. muciniphila Treatment Exerted Minor Effects on Antibacterial Peptide A. muciniphila Counteracted Diet-Induced Colon Mucosal Barrier Discussion Materials and Methods"
1772,22735647,1, Introduction PALABRAS CLAVE Methods Subjects Recording equipment Recording protocol Signal processing Statistical analysis Results Discussion Conclusions
1773,4473813,0, CASE REPORT DISCUSSION
1774,25706066,0," Introduction Prevalence of dyslipidemia in type 2 diabetes Disturbed metabolism of triglyceride-rich lipoproteins in diabetes Distribution of TRL species Disturbed metabolism of intestinal TRLs in type 2 diabetes Regulators of VLDL synthesis and secretion Dysregulation of triglyceride synthesis in type 2 diabetes Genetic susceptibility to developing NAFLD Dysregulation of DNL in hepatocytes in type 2 diabetes The coordinate control of DNL, elongation, and desaturation Contribution of DNL to liver fat and postprandial TRL particles Assembly and secretion of VLDL particles Intracellular roles of apoC-III for VLDL secretion Mechanisms leading to overproduction of VLDL in type 2 diabetes Impaired suppression of VLDL 1 secretion by insulin is associated with NAFLD and insulin resistance Lipid export from the liver Fatty acid oxidation Regulation of TRL clearance Genetic evidence for a causative role of remnant particles for developing CVD Mechanisms for prolonged residence time of TRLs Kinetic studies to elucidate the pathophysiology of impaired postprandial lipoprotein metabolism Consequences of VLDL overproduction on LDL and HDL metabolism Summary"
1775,20528717,1, R ESEARCH Statistical analyses RESULTS R ESEARCH DISCUSSION Prevalence of intermittent claudication R ESEARCH Incidence of peripheral arterial disease Risk factors for peripheral arterial disease Cardiovascular outcomes of claudication Strengths and weaknesses R ESEARCH Implications and conclusions
1776,25529297,0, INTRODUCTION MATERIALS METHODS Animal maintenance Tissue isolation and heart perfusion Perfused working heart Estimates of oxygen consumption Quantitation of perfusate tritiated water Glucose metabolism Lactate flux Estimates of acetyl-CoA synthesis Perfusate Lactate dehydrogenase (LDH) activity Capillary density Estimation of arteriolar occlusion Visualisation of patent capillaries OXYGEN DIFFUSION CALCULATIONS Histological analysis Microsphere occlusion and cardiac performance Langendorff hearts Perfused working heart Rates of metabolism Estimated rate of acetyl-CoA production Arteriolar occlusion and performance of the working heart Effects of microsphere occlusion on calculated oxygen diffusion distance DISCUSSION Oxygen kinetics Cardiac performance Cardiac metabolism Experimental limitations CONCLUSIONS FIGURE LEGENDS
1777,22347420,0," Introduction Results PDK1 is modified by mono-ubiquitination Mono-ubiquitination of PDK1 occurs in the kinase domain USP4 deubiquitinates PDK1 and co-localizes at the plasma membrane Discussion Materials and Methods Cell lines Immunoprecipitation, pull-downs and immunoblotting Antibodies Plasmids and cell transfection Confocal microscopy"
1778,22039354,0, Introduction Methods Ethics Statement Study Populations Measurement of Serum NT-pro-BNP Levels Genotyping Statistical Analyses Results Association of B-Type Natriuretic Peptide Levels with Type 2 Diabetes Risk Association of rs198389 with B-Type Natriuretic Peptide Levels and Cardio-Metabolic Traits Association between rs198389 and Type 2 Diabetes Risk Discussion Supporting Information
1779,16958641,1, Introduction Methods Study group Perceived risk and illness perceptions TIMI scores Statistical analysis Results Discussion
1780,21521748,0," Materials and Methods Drugs and chemicals Isolation of pancreatic islets and measurement of islet hormone secretion Detection of mRNA for GPR30 by quantitative realtime PCR Expression of GPR30 mRNA in female pancreatic islets analyzed by microarray technique Western blot Confocal microscopy cAMP measurement Phosphatidylinositol (PI) hydrolysis Measurement of apoptosis and caspase-3 activity Statistics Results mRNA and protein expression of GPR30 in female and male human islets Expression of GPR30 in pancreatic islets analyzed by microarray technique GPR30 protein expression in different islet cell types Influence of GPR30 activation on islet cell survival . Concentration-dependent induction of secondary messengers via GPR30 by E2 and G-1 in human islet cells and E2 and G-1 effects on cAMP content in isolated female pancreatic islets at 12 mmol/liter glucose. A, Stimulation of cAMP production by E2 and G-1; Effects of E2 or G-1 on cytokine-induced apoptosis in islet cells in the absence or presence of ICI 182,780 or EM-652 Effect of GPR30 activation on islet hormone release in islets from type 2 diabetic female subjects Discussion"
1781,12538742,1, Materials and Methods Data Analytical Methods Results Baseline Characteristics of Cohort and Distribution of Deaths during Follow-Up Patient Survival by Modality Mortality Risk Predictors in New ESRD Patients Mortality Risks of PD and HD in Patients with and without CAD: Intention-to-Treat Mortality Risks of PD and HD in Patients with and without CAD: As-Treated Analysis Discussion
1782,28076248,1, Methods Attitudes Toward Prediabetes Perceived Barriers to Diabetes Prevention Attitudes Toward Treatment Current Strategies for Diabetes Prevention Perceptions of Peers and Prediabetes Demographics Analysis . Items Used to Create Attitudes Toward the Prediabetes Index Results Discussion Conclusion
1783,21079817,0, INTRoducTIoN HepATIc mITocHoNdRIAl AlTeRATIoNS IN INSulINReSISTANT pATIeNTS ANd ANImAl modelS mITocHoNdRIAl memBRANe poTeNTIAl AS A SpecIFIc TARgeT coNcluSIoNS
1784,23802207,1, Methods Results Discussion
1785,23197053,1, Introduction Materials and methods Results Discussion Conclusion Author Contributions Competing Interests Grant Information Open Peer Review
1786,23762460,1, Introduction Materials and Methods Population Study design and protocol Laboratory tests 24-hour electrocardiogram Echocardiogram 24-hour ambulatory blood pressure monitoring Coronary computed tomography Statistical Analysis Results Discussion
1787,20878273,0, The rs7903146 Risk Allele Phenotype TCF7L2 Functions TCF7L2 and GLP-1 Mode of Action in T2D Pathogenesis The Splice Pattern of TCF7L2 Predicted TCF7L2 Protein Isoforms TCF7L2 Isoforms and Interaction Partners Discussion Conclusions Disclosure
1788,13563484,1, MATXRIAL AND METHODS RESULTS DISCUSSION SUMMARY
1789,18760061,1, INTRODUCTION PATIENTS AND METHODS RESULTS DISCUSSION CONCLUSION
1790,15866797,1, TRANSDERMAL CO2 APPLICATION-METHOD Methods and Materials RESULTS LOWER EXTREMITY WOUNDS 3(2); 2004 DISCUSSION CO2
1791,21459891,1, Introduction Methods Statistical analyses Results Baseline characteristics Patients with macroalbuminuria Patients with microalbuminuria Associations of urinary albumin creatinine ratio: patients without diabetes only Discussion Supplementary material
1792,24884711,1, Background Methods Selective screening for GDM based on risk factors Definitions of background and outcome variables Statistical analysis Results Four screening regimes for diagnostics of GDM in Sweden Prevalences of OGTT and GDM Population attributable proportion Maternal characteristics and pregnancy outcomes in relation to screening regimes Pregnancy outcomes in relation to OGTT 2-hour glucose values Pregnancy outcomes in relation to gestational diabetes mellitus Large for gestational age in relation to maternal characteristics Discussion Methodological considerations Ethical considerations Conclusions
1793,24410834,0, Background Methods Study design IVUS examination and analysis Laboratory determinations Statistical analysis Results Patient characteristics and risk factor control Grayscale and VH-IVUS analysis Discussion Residual risk of cardiovascular events during statin therapy Surrogate marker of PUFAs PUFAs and cardiovascular events Plasma glucose control and cardiovascular events Statin therapy for secondary prevention of cardiovascular events Conclusions Competing interests
1794,26522602,0, INTRoDuCTIoN RESuLTS Definition and Prevalence Risk Factors Smoking Diabetes Genetic Traits Keratinized Tissue Implant Surface DISCuSSIoN
1795,22950360,1, Background Methods Patient population T-wave alternans Heart rate turbulence Statistical analysis Results Patient characteristics T-wave alternans Heart rate turbulence Positive results of TWA and HRT Discussion Study limitations Conclusions Abbreviations Competing interests Author details
1796,22532269,1, D Patients and Methods Results Discussion
1797,26435133,1," INTRODUCTION METHODS Study population H. pylori stool antigen test Demographics, anthropometrics, and clinical measurement Biochemical measurement Statistical methods RESU LTS H. pylori and Cardiometabolic Risk Factor Copyright © 2015 Korean Endocrine Society DISCUSSION H. pylori and Cardiometabolic Risk Factor CONFLICTS OF INTEREST ACKNOWLEDGMENTS"
1798,18040918,1," RESUMEN INTRODUCTION SUBJECTS, MATERIAL AND METHODS RESULTS DISCUSSION Honeyman MC, Harrison LC, Drummond B, Colman PG,"
1799,21808578,0," INTRODUCTION Antidiabetic Activity and Phytochemical Screening of Crude Extract of Stevia Rebaudiana in Alloxan-induced Diabetiis Rats R.S.Kujur 1 , Vishakha Singh 1 , Mahendra Ram 1 , Harlokesh Narayan Yadava 2 , K.K.Singh 3 , Suruchi Kumari Preliminary phytochemical screening MATERIALS AND METHODS Experimental animals Preparation of extracts vii. Test for Anthraquinones a) Test for free anthraquinones (Borntrager's test) iv. Flavonoids v. Test for saponins vi. Test for tannins RESULTS AND DISCUSSION Phytochemical studies Anti-diabetic Effect"
1800,24884679,1," Background Methods Participants Data collection Analyses Results Service usage Vascular complications Vascular risk factors Associations between risk factors and vascular complications Independent predictors of vascular complications Discussion However, the Epidemiology of Diabetes Interventions and Conclusion"
1801,21179590,1," Microbial conversion of D-xylose to D-xylitol . 2 ) ( X R ) ; t h e r e sulting D-x y l i t o l w a s e i t h e r s e c r e t e d o r f u r t h e r o x i d i z e d t o The applications of D-xylitol . These bacteria are k n o w n t o b e a g g l u t i n a t e d b y t h e w h o l e s a l i v a . T h e salivary I t w a s f o u n d t h a t r e g u l a r u s e o f D -xylitol in c h e w i n g g u m s o r s y r u p p r e v e n t e d t h e i n c i d e n c e o f acute otitis media (AOM) in children [50]. D-Xylitol h a d t h e a b i l i t y t o r e d u c e t h e g r o w t h o f t h e m a j o r otopathogen of acute otitis media, S. pneumonia, which caused 30% or more of such attacks, and a l s o s u ppressed Detection methods of D-xylitol GC and GC-MS and it is s t i l l a m e t h o d o f c h o i c e f o r t h e d e t e r m i n a t i o n o f D-xylitol in a complex matrix HPLC LC-MS and LC-NMR Capillary electrophoresis Other methods r o u p s o f p o l y o l s r e s u l t e d i n p r o d u c t s w h i c h w e r e s e p a r a t e d b y 6 8 m a s s u n i t s i n t h e m a s s s p e c t r u m , Conclusion and future prospects n o r d e r t o i n c r e a s e t h e p r o d u c t i v i t y o f D -xylitol."
1802,22505554,0, Confl ict of interest statement
1803,20003350,0, Background Methods Study Setting and Design Recruitment Strategies Bilingual Recruiters Flexibility in Recruitment Recruiter Training Culturally Tailored Materials Prescreening Processes Cooperation from the Clinic Staff Study Protocol Statistical Analysis Results Response Proportions Sample Distribution Sample Representativeness Rates Over Time Discussion Conclusions
1804,9332924,1," Introduction Material and methods Perioperative management Infection surveillance and surgical treatment Risk factors for mediastinitis Results Patients data: clinical, angiographic and operative Clinical and bacteriological findings Risk factors for mediastinitis Mortality and morbidity of mediastinitis Comment Study Appendix A. Conference discussion"
1805,14647865,0, Estudo da freqüência de diabetes mellitus e intolerância à glicose em pacientes com fibrose cística Métodos Resultados Discussão Agradecimentos
1806,17877236,0, INTRODUCTION MATERIALS AND METHODS Design and study area Study population Instruments Data collection and analysis RESULTS Demographic and personal characteristics Differences in self-reported chronic diseases Chronic disease problems and related factors DISCUSSION
1807,24905517,1," Introduction Material and methods Results Body mass gain, uterus and thymus mass Histomorphometric parameters Table 2 Parameters Calcium, phosphorus, estradiol, osteocalcin, and RatLaps serum level Mechanical properties of the tibial metaphysis, femoral diaphysis and femoral neck Discussion Table 4 Parameters Conflict of interest Funding"
1808,23728725,1, Introduction Subjects and methods Selection of the subjects Data collection Determinations of CKD severity Statistical analyses Results Discussion Conclusions
1809,12123108,1, Introduction Materials and Methods Statistical Analysis Results Discussion Conclusion
1810,25739586,1, results Materials and Methods Discussion references Contributions Disclosure acknowledgements
1811,21044376,1, INTRODUCTION MATERIALS AND METHODS RESULTS COMMENTS CONCLUSIONS CONFLICT OF INTEREST
1812,19669558,0, Physiology Principle of homeostasis Model Parameter estimation Discussion and conclusion
1813,21853126,0, Introduction Results Gross characteristics of the Gcgr 2/2 mice Pancreata in younger Gcgr 2/2 mice Mechanisms for increased endocrine cell mass in Gcgr 2/2 mice PNETs in Gcgr 2/2 mice Discussion Materials and Methods Animals Hormonal assays Patient Histology Immunofluorescent staining Apoptosis assay Microscopy Data analysis
1814,25349818,0, INTRODUCTION SIRTUINS AND CALORIC RESTRICTION MECHANISTIC INSIGHTS OF SIRT1 ACTIVATION BY CALORIC RESTRICTION CONCLUSIONS CONFLICTS OF INTEREST
1815,24675009,0, INTRODUCTION 16 15 16 Measurements 17 18 12 18 19 20 Statistical methods 21 22 3 8 Prediction of 5 year metabolic risk development by WC and WHtR 14 13 15 15 16 ACKNOWLEDGEMENTS 13
1816,24282622,1, Introduction Materials and Methods Ethics Statement Exposure and covariates Outcomes Statistical analyses Meta-analysis of prospective studies assessing the relationship between short sleep and incident diabetes Results Meta-analysis of prospective studies assessing the relationship between short sleep and incident diabetes Discussion Relationship of sleep duration with future cardiovascular disease Relationship of sleep duration with future type 2 diabetes Supporting Information
1817,17923974,1, INTRODUCTION OBJECTIVE METHODOLOGY Exclusion criteria Study population RESULTS AND DISCUSSION CONCLUSION
1818,26788926,0, Introduction ▼ ▼ Endocrine Care Materials and Methods ▼ Selection and description of participants Study design Mixed meal test (MMT) Operative techniques Analytical procedures Measurements Endocrine Care Statistical analysis Results ▼ Weight loss and metabolic control Insulin secretion and insulin sensitivity (OGTT) Glucose and hormone profile (MMT) Endocrine Care Discussion and Conclusion ▼ Endocrine Care Conflict of Interest ▼
1819,24493934,0, Sex differences in blood pressure Sex differences in hypertension 133 Estrogens and risk of hypertension in chronic diseases Hypertension and risk of cardiovascular disease in women Effects of estrogens on blood pressure regulation effects of estrogen on the vasculature effects of estrogen on the kidney Hormone therapy Hormone therapy and cardiovascular disease 136 Hormone therapy in women with chronic disease Hormone therapy and hypertension Conclusion Disclosure International
1820,27594926,0, Background Methods Study design and population Clinical examinations DNA methylation analysis Gene expression analysis Statistical analysis Results Clinical characteristics HIF3A DNA methylation in the blood and SAT HIF3A methylation levels in SAT Association between DNA methylation and gene expression in SAT HIF3A skeletal muscle gene expression Familiality of DNA methylation and gene expression of HIF3A Discussion Conclusions
1821,23136321,1, Patients and Methods Statistical Analysis Ethical Considerations Results Discussion
1822,332571,0, Materials and Methods Animals Technique of Pancreatic Tissue Preparation and Transplantation in Experimental Groups Survival and Metabolic Studies I I I I I I//_L_//I 2 5 4 5 6 7 14 21 Results Survival and Metabolic Studies Insulin and Amylase Content of Pancreatic Tissue Discussion
1823,27247855,0, Introduction Methods Patients and study design Electrodiagnostic studies Ethics statement Statistical analysis Results Patient characteristics and neurological findings Analysis of the heart rate variability Electrodiagnostic signs of polyneuropathy in patients with TBE Discussion Supporting Information
1824,19032863,0, introduction treAtMent of nAfld bAriAtric surgery AntioxidAnts Vitamin E cytoprotective Agents Ursodeoxycholic acid Pentoxifylline hypolipideMic Agents Statins Omega-3 fatty acids insulin sensitizers Metformin Thiazolidinediones neW ApproAches And treAtMent suMMAry conclusion resuMo references
1825,15215001,1, MATERIALS AND METHODS RESULTS DISCUSSION CONCLUSIONS
